,Mean Precision,Mean Recall,Mean Fitness,Mean Accuracy
No FS,0.656666667,0.666666667,1.361904762,0.67
GWOGA,0.751666667,0.716666667,0.327325337,0.77
Variance Threshold,0.633333333,0.6,0.3906557,0.68
Select K Best,0.781666667,0.733333333,0.628575916,0.8
RFE,0.781666667,0.733333333,0.790453752,0.8
BPSO,0.585,0.7,0.658295134,0.61
SA,0.708768613,0.703643343,1.562387728,0.71
